Building model
Adding costs
Adding people per day
Constraint of one choice per family
Preference cost cal
Accounting cost cal
Setting best submission
Doing first solve
Preparing solve has been completed
Objective sample: 69761.8474968
* model Santa2019 solved with objective = 69761.847
Model: Santa2019
 - number of variables: 3122700
   - binary=3122600, integer=100, continuous=0
 - number of constraints: 6731
   - linear=6731
 - parameters:
     parameters.threads = 10
     parameters.timelimit = 3300.00000000000000
     parameters.mip.tolerances.mipgap = 0.00000000000000
Solving...
* model solved as function:
Objective: 69761.8474968
***** START
3446,44
4973,87
1708,72
2904,43
1114,7
4525,59
704,60
761,48
390,40
4941,25
87,25
1719,23
3265,70
1059,1
3165,26
4401,17
4143,14
1550,12
688,88
2095,13
1662,18
4115,87
546,80
3398,34
3772,4
4479,25
3016,45
2014,17
4386,30
1481,80
2381,16
3909,3
2118,19
1381,52
227,49
65,47
293,23
4631,1
3424,53
400,3
1739,89
1554,83
3608,63
765,32
4252,14
2192,12
1930,71
4521,70
2818,22
250,7
4245,45
2731,88
931,35
3545,76
4796,45
3028,39
3264,59
1425,80
3268,38
1350,19
4844,45
4920,22
2366,40
3522,65
2777,16
2012,87
1006,95
3612,47
4015,1
758,22
795,30
2798,88
4594,13
4381,28
3637,95
2762,35
1158,39
179,2
4753,52
4307,20
2276,28
2313,24
4548,14
1525,52
874,23
1369,93
4864,41
3726,27
3672,88
3634,63
2641,23
790,59
2056,74
2683,75
897,67
2881,100
4271,41
8,18
4526,74
4867,16
491,73
4749,80
4576,74
1478,65
135,5
1433,100
380,73
1466,64
4765,66
3399,44
4873,33
697,85
2791,26
2710,2
4622,55
434,62
596,88
4002,39
1667,53
2251,18
3604,53
1519,75
1759,12
3242,25
778,3
1096,26
238,19
3616,83
4786,95
3154,44
2613,9
1701,52
243,89
2402,72
1452,28
2776,22
298,19
113,18
2687,40
2168,36
1484,73
1161,60
1640,30
4146,19
2780,25
4772,1
1012,67
1353,11
4678,19
1922,39
2388,26
4671,6
3529,65
2024,74
4715,38
4064,8
4279,21
1022,73
1456,24
4359,71
1367,2
2212,66
3496,86
1167,61
4099,68
454,11
2770,28
984,2
3316,51
1915,59
3382,93
4501,47
2242,5
1583,31
4329,10
1154,99
337,24
3042,100
336,89
2910,59
3935,94
347,59
2060,50
2619,1
4351,59
2159,26
3419,38
55,91
4177,42
1476,4
1409,95
3119,37
1185,52
3810,45
1849,21
3691,18
3225,46
1796,74
2512,30
3908,92
3096,76
2261,66
3907,19
2772,91
184,4
2728,5
264,11
2851,61
839,12
951,88
2631,19
2539,59
1360,98
1309,57
3961,97
3587,5
4374,89
2874,11
3886,63
780,77
1047,15
864,4
4236,38
627,3
2350,19
3369,43
2101,1
979,4
965,61
2792,25
4267,60
3802,36
4589,94
3896,20
542,22
4256,6
1276,7
3806,55
4155,1
151,3
4396,13
3799,4
1026,18
2540,9
2516,81
4508,89
2463,16
4375,15
397,52
2371,20
1777,24
624,78
4458,5
3766,11
4922,89
799,3
3836,41
4532,16
1557,64
3971,88
3503,74
448,82
2618,21
4771,20
3988,21
1296,3
132,76
724,81
3676,87
177,13
2830,41
20,3
684,26
3774,22
208,1
4218,59
1660,68
1616,26
424,4
481,72
1375,41
1820,82
1420,70
1279,57
4898,46
4183,22
3077,14
4196,24
121,17
4691,82
2733,25
689,67
3367,38
451,33
4287,80
3195,1
4639,71
3159,81
1637,67
934,38
867,3
3074,80
815,1
4330,45
3584,26
3893,2
461,27
3906,64
1816,68
2547,31
1578,26
2822,88
3476,40
2551,20
3874,34
1993,67
2706,12
2924,99
3047,75
4929,3
4251,59
1613,17
644,19
3022,74
2437,97
1829,30
4231,80
4429,83
3647,47
1301,9
3038,60
110,22
2454,12
1926,50
2400,73
3175,81
3714,44
886,81
192,77
922,6
605,12
7,25
4770,6
4931,43
2918,21
4098,5
4477,45
883,1
473,56
1441,17
3800,19
3060,4
4601,6
1008,73
4552,21
225,61
4258,56
998,3
1249,65
4524,29
4699,79
664,24
3902,45
3872,16
1940,100
2524,7
1542,22
3692,69
2010,14
1650,21
3705,33
4051,13
4970,22
2647,59
2831,33
1600,27
1126,21
4310,10
821,36
3964,18
425,30
3421,46
625,47
853,55
2304,93
4857,94
4435,52
4833,54
1984,87
1676,27
3148,38
4775,6
4664,45
1217,41
4842,17
2185,87
4828,68
3153,26
4499,5
134,18
3460,94
1049,31
1756,19
29,8
3368,98
1067,75
2883,74
140,61
1027,54
2565,33
128,56
2425,3
1722,67
2509,9
2571,22
363,12
600,15
3434,35
2519,2
405,54
4663,75
4689,7
1585,5
3482,34
3991,97
3193,54
4655,33
4178,19
1606,51
826,28
3649,12
4292,66
1214,100
1325,23
2412,8
2051,10
1277,49
612,1
4868,52
4247,8
3236,9
2666,24
2760,64
3117,30
3103,95
2614,58
680,27
486,11
2086,3
2925,2
1908,21
4892,31
3985,65
1124,96
4190,33
3711,76
2742,96
4472,19
1297,96
3396,96
4253,86
3730,5
4580,93
1638,1
935,26
4703,33
4901,78
354,27
1744,64
2941,41
1544,69
1843,66
3485,6
4693,58
4391,9
3891,37
508,35
265,11
4474,3
4076,80
3715,66
960,50
3842,27
537,23
3430,2
4799,1
1045,73
3483,53
3667,23
4774,52
3696,24
621,95
1702,99
2124,68
428,40
1173,55
4518,45
3679,21
355,85
359,90
552,35
2319,73
2930,74
1990,37
954,80
3262,13
494,95
1992,5
881,41
3070,41
2348,75
458,46
2405,25
909,36
46,15
16,46
3372,55
3639,17
4068,3
2223,24
1656,31
3603,94
3831,4
1162,65
4246,26
2536,68
4079,84
2037,16
2190,7
4077,66
342,54
1056,27
168,19
197,59
3456,34
1259,66
1192,7
3233,20
465,46
4673,17
242,60
3090,65
2922,13
1929,38
1654,40
1748,32
4142,81
1127,68
4666,60
3775,20
4638,62
1592,6
3640,77
411,83
3174,39
4540,54
3383,3
2670,25
4780,21
1120,15
3413,68
2645,42
1813,62
4053,5
4270,34
1602,7
4283,8
4815,46
4710,32
3102,87
3010,23
1119,34
4940,44
1437,47
2895,89
1386,29
1346,28
1692,32
1307,60
22,61
3537,74
371,26
2065,39
1657,56
1989,17
3167,45
332,10
2373,1
783,52
3354,16
1182,11
2429,12
1971,94
138,2
2445,20
33,32
4575,12
1792,81
2980,93
995,35
2410,26
3600,54
3625,23
2718,71
4457,94
851,13
124,14
2735,28
1033,52
4276,26
3520,70
1148,26
1745,74
3296,57
3335,20
993,46
1856,67
1021,75
4149,39
3919,15
1396,90
2559,78
2914,77
1395,17
4915,70
3142,41
2969,79
3558,27
2391,32
2287,95
2893,13
1132,46
1226,10
4837,29
2392,93
3378,40
2403,46
3172,39
2321,13
1743,5
3636,59
2563,80
2500,10
513,64
1972,36
2172,70
2181,40
595,19
1178,32
1737,7
3721,62
2146,32
902,33
3403,1
3834,3
2363,82
203,38
2069,17
2362,11
1996,47
3069,3
3187,47
3466,34
391,53
1677,27
3553,47
2267,21
4761,68
2507,66
2322,87
641,81
1639,83
920,26
4357,94
2127,52
3455,66
4649,21
3681,17
1910,34
1711,34
4510,11
186,50
2119,42
2702,89
570,11
849,50
3400,4
3899,60
1015,9
2338,96
1402,59
723,92
4743,13
4428,9
4603,19
943,82
3012,81
2495,12
932,12
1833,10
3860,98
840,24
2669,19
3346,96
3962,81
4469,15
2129,11
117,94
2158,95
1458,20
3034,82
2593,87
2085,19
528,100
2715,100
2839,3
133,54
1442,12
3597,80
3359,62
2262,21
2208,80
1457,88
661,80
4414,81
4789,94
4808,62
2448,27
1950,18
4806,95
4672,95
230,57
2347,40
1492,41
3068,27
3944,1
3395,100
1715,17
548,88
3371,12
1121,94
1372,75
2422,72
2246,33
